stations,NOME,BACIA,ALTITUDE (M),COORD_X,COORD_Y,LATITUDE,LONGITUDE,ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
03J.09,ALB. ALTO RABAGÃO,CÁVADO/RIBEIRAS COSTEIRAS,805,223575,530003,41.739062,-7.84975,ARH-NORTE,VILA REAL,MONTALEGRE,VIADE DE BAIXO,RIO RABAGÃO,103.38,106.27,13/02/1995,-,IMPACTO / PISC-CIP-78-659 / CAPTAÇÃO / DQA_QUIM_VIG,ATIVA
03J.17C,ALB. ALTO RABAGÃO_est 1 int - CCHE,CÁVADO/RIBEIRAS COSTEIRAS,-,-,-,41.742,-7.85317,EDP,VILA REAL,MONTALEGRE,VIADE DE BAIXO,RIO RABAGÃO,-,-,01/01/2010,-,TURH,ATIVA
03J.17P,ALB. ALTO RABAGÃO_est 1 perfil - CCHE,CÁVADO/RIBEIRAS COSTEIRAS,-,-,-,41.742,-7.85317,EDP,VILA REAL,MONTALEGRE,VIADE DE BAIXO,RIO RABAGÃO,-,-,01/01/2010,-,TURH,ATIVA
03J.13C,ALB. ALTO RABAGÃO_est 2 int - CCHE,CÁVADO/RIBEIRAS COSTEIRAS,-,-,-,41.741111,-7.840917,EDP,VILA REAL,MONTALEGRE,VIADE DE BAIXO,RIO RABAGÃO,-,-,01/01/2010,-,TURH,ATIVA
03J.13P,ALB. ALTO RABAGÃO_est 2 perfil - CCHE,CÁVADO/RIBEIRAS COSTEIRAS,-,-,-,41.741111,-7.840917,EDP,VILA REAL,MONTALEGRE,VIADE DE BAIXO,RIO RABAGÃO,-,-,01/01/2010,-,TURH,ATIVA
24J.02,ALB. ALVITO,SADO,193,219067,146176,38.279184,-7.910647,ÁGUAS PÚBLICAS DO ALENTEJO S.A.,BEJA,CUBA,VILA ALVA,RIBEIRA DE ODIVELAS OU ORIOLA OU ALVITO,210.77,136.97,18/10/1994,-,CAPTAÇÃO-75-440 / PISC-CIP / NITRATOS / DQA_QUIM_VIG,ATIVA
24J.02C,ALB. ALVITO (C),SADO,-,219143,146331.37,38.28229,-7.91313,ÁGUAS PÚBLICAS DO ALENTEJO S.A.,BEJA,CUBA,VILA RUIVA,RIBEIRA DE ODIVELAS OU ORIOLA OU ALVITO,-,-,23/08/2009,-,DQA_ECOL_VIG,ATIVA
05K.02,ALB. ALVÃO - V. REAL,DOURO,1069,228062,486914,41.35098,-7.7978,ARH-NORTE,VILA REAL,VILA REAL,VILA MARIM,RIO LOUREDO,0.83,121.67,19/11/1996,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / NITRATOS,ATIVA
17M.02,ALB. APARTADURA,TEJO,597,264587,264951,39.349467,-7.382019,ARH-TEJO,PORTALEGRE,MARVÃO,SÃO SALVADOR DA ARAMENHA,RIBEIRA DAS REVELADAS,8.38,306.51,09/01/1996,-,CAPTAÇÃO-75-440 / PISC-CIP / NITRATOS / DQA_ECOL_OPER,ATIVA
17M.02C,ALB. APARTADURA (C),TEJO,-,264587,264951,39.346343,-7.382997,ARH-TEJO,PORTALEGRE,MARVÃO,SÃO SALVADOR DA ARAMENHA,RIBEIRA DAS REVELADAS,-,-,01/01/2016,-,DQA,ATIVA
30G.09C,ALB. ARADE (C),ARADE,51,5586267.15,-5704836.22,37.24084,-8.37901,ARH-ALGARVE,FARO,SILVES,SILVES,RIO ARADE,224.98,25.85,25/05/2009,-,IMPACTO / DQA_QUIM_VIG,ATIVA
30G.09F,ALB. ARADE (F),ARADE,51,5586267.15,-5704836.22,37.24084,-8.37901,ARH-ALGARVE,FARO,SILVES,SILVES,RIO ARADE,224.98,25.85,09/10/2001,-,IMPACTO,ATIVA
30G.09S,ALB. ARADE (S),ARADE,51,5586267.15,-5704836.22,37.23786,-8.38089,ARH-ALGARVE,FARO,SILVES,SILVES,RIO ARADE,224.98,25.85,23/10/1989,-,IMPACTO / PISC-CIP-78-659 / DQA_QUIM_VIG,ATIVA
07P.01,ALB. ARROIO,DOURO,442,295387,458374,41.08892,-6.99788,CCDR-NORTE,BRAGANÇA,TORRE DE MONCORVO,URRÓS,RIBEIRA DO ARROIO,12.59,204.19,25/03/1996,-,CAPTAÇÃO-75-440 / EXTRACÇÃO,ATIVA
04P.01,ALB. AZIBO,DOURO,547,210865.89,103727.9,41.560431,-6.889656,ARH-NORTE,BRAGANÇA,MACEDO DE CAVALEIROS,VALE DA PORCA,RIO AZIBO,98.44,259.87,25/10/1993,-,PISC-CIP-78-659/NITRATOS/DQA_QUIM_VIG/DQA_ECOL_VIG,ATIVA
